cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
277.1,0,97.4,0,0,0,0,160.6,11.8,973.9,875.6,0,56,51.04,0,374.5,0.42883845
277.1,0,97.4,0,0,0,0,160.6,11.8,973.9,875.6,0,100,55.64,0,374.5,0.42883845
295.7,0,95.6,0,0,0,0,171.5,8.9,955.1,859.2,0,3,22.95,0,391.3,0.438282646
295.7,0,95.6,0,0,0,0,171.5,8.9,955.1,859.2,0,14,35.23,0,391.3,0.438282646
295.7,0,95.6,0,0,0,0,171.5,8.9,955.1,859.2,0,28,39.94,0,391.3,0.438282646
295.7,0,95.6,0,0,0,0,171.5,8.9,955.1,859.2,0,56,48.72,0,391.3,0.438282646
295.7,0,95.6,0,0,0,0,171.5,8.9,955.1,859.2,0,100,52.04,0,391.3,0.438282646
251.8,0,99.9,0,0,0,0,146.1,12.4,1006,899.8,0,3,21.02,0,351.7,0.41541086
251.8,0,99.9,0,0,0,0,146.1,12.4,1006,899.8,0,14,33.36,0,351.7,0.41541086
251.8,0,99.9,0,0,0,0,146.1,12.4,1006,899.8,0,28,33.94,0,351.7,0.41541086
251.8,0,99.9,0,0,0,0,146.1,12.4,1006,899.8,0,56,44.14,0,351.7,0.41541086
251.8,0,99.9,0,0,0,0,146.1,12.4,1006,899.8,0,100,45.37,0,351.7,0.41541086
249.1,0,98.8,0,0,0,0,158.1,12.8,987.8,889,0,3,15.36,0,347.9,0.45444093
249.1,0,98.8,0,0,0,0,158.1,12.8,987.8,889,0,14,28.68,0,347.9,0.45444093
249.1,0,98.8,0,0,0,0,158.1,12.8,987.8,889,0,28,30.85,0,347.9,0.45444093
249.1,0,98.8,0,0,0,0,158.1,12.8,987.8,889,0,56,42.03,0,347.9,0.45444093
249.1,0,98.8,0,0,0,0,158.1,12.8,987.8,889,0,100,51.06,0,347.9,0.45444093
252.3,0,98.8,0,0,0,0,146.3,14.2,987.8,889,0,3,21.78,0,351.1,0.4166904
252.3,0,98.8,0,0,0,0,146.3,14.2,987.8,889,0,14,42.29,0,351.1,0.4166904
252.3,0,98.8,0,0,0,0,146.3,14.2,987.8,889,0,28,50.6,0,351.1,0.4166904
